source_genesymbol	target_genesymbol	is_directed
Hic1	Vldlr	1
Hic1	Fgfbp1	1
Hic1	Ackr3	1
E2f1	Hic1	1
Hic1	E2f1	1
Hic1	Sirt1	1
Tp53	Hic1	1
Hic1	Atoh1	1
Hic1	Epha2	1
Gata1	Hbb-b1	1
E2f4	Wdr76	1
E2f1	Arl10	1
Esr1	Tac3	1
E2f1	Ift80	1
Sp1	Cenpw	1
Tfap2c	Ecm1	1
Rara	Btg2	1
Esr1	Btg2	1
Tp53	Btg2	1
Myc	Cdc25a	1
Hmga1	Cdc25a	1
Nanog	Cdc25a	1
E2f1	Cdc25a	1
E2f4	Cdc25a	1
E2f1	Sez6l2	1
Nkx2-1	Sftpb	1
Rara	Sftpb	1
Foxa1	Sftpb	1
Ar	Fam174b	1
Fos	Ercc4	1
Foxa1	Rprm	1
Fos	Ntf3	1
Myc	Man2a2	1
Stat3	Cdk4	1
Stat3	Osm	1
Stat3	Zfp36	1
Stat3	Fas	1
Stat3	Etv6	1
Stat3	Reg1	1
Stat3	Pgf	1
Stat3	Il6st	1
Stat3	A2m	1
Stat3	Csrp1	1
Stat3	Il6	1
Stat3	Saa1	1
Stat3	Myd88	1
Stat3	Pim1	1
Stat3	Chi3l1	1
Stat3	Il2ra	1
Stat3	Vegfa	1
Stat3	Cyp19a1	1
Myc	Stat3	1
Stat3	Myc	1
Stat3	Mcl1	1
Stat3	Mmp3	1
Irf1	Stat3	1
Stat3	Irf1	1
Stat3	Nnmt	1
Stat3	Hspb1	1
Stat3	Ptpn13	1
Stat3	Klf11	1
Stat3	Usp7	1
Stat3	Crp	1
Stat3	Bcl2	1
Stat3	Ifnar1	1
Stat3	Cish	1
Stat3	Prf1	1
Stat3	Ccnd2	1
Stat3	Rora	1
Stat3	Ccl12	1
Stat3	Gfap	1
Stat3	Ltbp1	1
Stat3	Vegfb	1
Esr1	Stat3	1
Stat3	Esr1	1
Stat3	Hif1a	1
Hif1a	Stat3	1
Stat3	Egfr	1
Stat3	Il10	1
Junb	Stat3	1
Stat3	Junb	1
Cebpa	Stat3	1
